dac_inputs (V),adc_outputs
0.919932,95
0.920537,96
0.921143,95
0.921748,96
0.922354,95
0.922960,96
0.923565,95
0.924171,95
0.924777,95
0.925382,96
0.925988,95
0.926593,95
0.927199,96
0.927805,96
0.928410,96
0.929016,96
0.929621,96
0.930227,96
0.930833,96
0.931438,96
0.932044,96
0.932650,96
0.933255,96
0.933861,97
0.934466,96
0.935072,97
0.935678,97
0.936283,97
0.936889,97
0.937495,98
0.938100,97
0.938706,97
0.939311,97
0.939917,97
0.940523,98
0.941128,98
0.941734,98
0.942339,98
0.942945,97
0.943551,97
0.944156,97
0.944762,97
0.945368,97
0.945973,97
0.946579,98
0.947184,98
0.947790,98
0.948396,98
0.949001,99
0.949607,98
0.950212,98
0.950818,99
0.951424,99
0.952029,99
0.952635,98
0.953241,98
0.953846,98
0.954452,98
0.955057,99
0.955663,99
0.956269,99
0.956874,99
0.957480,99
0.958085,99
0.958691,100
0.959297,100
0.959902,100
0.960508,100
0.961114,99
0.961719,99
0.962325,99
0.962930,99
0.963536,100
0.964142,100
0.964747,100
0.965353,100
0.965958,100
0.966564,100
0.967170,100
0.967775,100
0.968381,100
0.968987,100
0.969592,100
0.970198,100
0.970803,100
0.971409,100
0.972015,100
0.972620,100
0.973226,101
0.973832,101
0.974437,101
0.975043,100
0.975648,100
0.976254,101
0.976860,101
0.977465,101
0.978071,102
0.978676,102
0.979282,102
0.979888,102
0.980493,101
0.981099,101
0.981705,101
0.982310,102
0.982916,102
0.983521,102
0.984127,102
0.984733,102
0.985338,102
0.985944,102
0.986549,103
0.987155,103
0.987761,103
0.988366,102
0.988972,102
0.989578,102
0.990183,102
0.990789,103
0.991394,103
0.992000,102
0.992606,102
0.993211,103
0.993817,102
0.994422,102
0.995028,103
0.995634,104
0.996239,104
0.996845,103
0.997451,103
0.998056,103
0.998662,104
0.999267,103
0.999873,104
1.000479,103
1.001084,104
1.001690,104
1.002295,104
1.002901,104
1.003507,104
1.004112,105
1.004718,104
1.005324,104
1.005929,104
1.006535,104
1.007140,105
1.007746,104
1.008352,104
1.008957,105
1.009563,105
1.010168,104
1.010774,104
1.011380,104
1.011985,104
1.012591,104
1.013197,105
1.013802,105
1.014408,105
1.015013,105
1.015619,105
1.016225,105
1.016830,105
1.017436,105
1.018042,105
1.018647,105
1.019253,106
1.019858,106
1.020464,105
1.021070,105
1.021675,105
1.022281,106
1.022886,105
1.023492,106
1.024098,106
1.024703,106
1.025309,106
1.025915,107
1.026520,107
1.027126,107
1.027731,106
1.028337,107
1.028943,107
1.029548,106
1.030154,106
1.030759,107
1.031365,106
1.031971,107
1.032576,108
1.033182,107
1.033788,108
1.034393,108
1.034999,107
1.035604,107
1.036210,107
1.036816,107
1.037421,108
1.038027,107
1.038632,108
1.039238,108
1.039844,108
1.040449,108
1.041055,108
1.041661,108
1.042266,108
1.042872,108
1.043477,108
1.044083,109
1.044689,108
1.045294,108
1.045900,109
1.046505,108
1.047111,108
1.047717,109
1.048322,109
1.048928,109
1.049534,109
1.050139,109
1.050745,109
1.051350,109
1.051956,109
1.052562,109
1.053167,109
1.053773,109
1.054379,109
1.054984,109
1.055590,109
1.056195,109
1.056801,109
1.057407,109
1.058012,110
1.058618,110
1.059223,111
1.059829,110
1.060435,110
1.061040,111
1.061646,109
1.062252,110
1.062857,110
1.063463,110
1.064068,111
1.064674,110
1.065280,110
1.065885,110
1.066491,110
1.067096,110
1.067702,111
1.068308,111
1.068913,111
1.069519,112
1.070125,111
1.070730,111
1.071336,111
1.071941,111
1.072547,111
1.073153,112
1.073758,112
1.074364,111
1.074969,112
1.075575,112
1.076181,111
1.076786,112
1.077392,111
1.077998,112
1.078603,112
1.079209,112
1.079814,112
1.080420,113
1.081026,112
1.081631,112
1.082237,112
1.082842,113
1.083448,113
1.084054,112
1.084659,113
1.085265,112
1.085871,113
1.086476,113
1.087082,113
1.087687,113
1.088293,114
1.088899,113
1.089504,113
1.090110,113
1.090716,114
1.091321,114
1.091927,113
1.092532,113
1.093138,113
